1000 4000
0 332 222
0 528 16
0 542 137
0 555 71
0 616 258
0 617 73
0 754 289
0 984 189
0 997 211
1 41 245
1 143 19
1 763 34
2 568 222
2 960 68
3 432 105
3 754 22
3 945 181
4 45 25
5 47 94
5 176 179
5 411 293
6 262 35
6 388 217
6 491 70
6 543 129
7 22 264
7 284 247
7 337 157
7 370 121
7 463 160
7 477 0
8 227 135
8 541 225
8 619 271
8 790 57
8 896 9
8 917 102
9 157 72
9 635 95
9 656 43
9 743 267
9 941 131
10 17 232
10 987 264
11 100 128
11 514 142
11 560 234
11 637 286
11 763 121
11 879 134
11 925 28
11 976 47
12 34 144
12 411 259
12 539 290
12 752 38
12 810 120
12 914 64
13 452 170
13 788 79
13 925 161
14 7 73
14 914 212
15 118 184
15 372 143
15 976 216
16 50 193
16 92 205
16 172 32
16 664 259
16 860 297
17 180 57
17 402 69
17 855 23
17 932 212
18 247 146
18 368 17
18 464 119
18 621 124
18 716 261
18 776 220
19 70 267
19 125 176
19 680 293
19 761 256
20 25 34
20 411 54
21 283 122
21 425 52
22 73 294
22 273 41
23 38 261
23 226 3
23 260 164
23 272 128
23 476 63
23 709 157
24 154 110
24 467 250
24 511 285
24 895 245
25 355 101
25 667 111
27 84 175
27 148 193
27 205 218
27 217 185
27 361 52
27 408 145
28 101 268
28 119 177
28 200 80
28 319 284
28 453 9
28 486 153
28 543 147
28 614 60
28 631 189
29 117 224
29 827 254
29 987 142
30 249 75
30 326 211
30 345 216
30 413 68
30 756 265
30 806 109
31 66 29
31 252 53
31 268 226
32 65 216
32 223 287
32 387 184
32 508 96
32 917 230
32 988 39
33 57 65
33 600 64
33 773 294
34 842 107
34 939 4
35 179 154
35 285 228
35 565 126
35 673 134
36 47 105
36 600 166
36 984 112
37 35 199
37 195 230
37 270 262
37 859 23
37 902 235
38 12 184
38 170 262
38 179 190
38 388 155
38 884 159
39 163 100
40 313 275
40 424 1
40 488 185
40 531 33
40 710 138
40 942 64
40 986 34
41 125 234
41 467 34
41 485 63
42 187 142
42 317 145
42 357 241
42 750 49
43 103 123
43 564 279
43 742 21
44 258 35
44 342 267
44 502 157
44 591 103
44 699 262
45 435 292
46 627 244
47 44 209
47 73 165
47 405 290
47 581 82
47 785 131
47 831 286
47 981 255
47 990 240
48 26 140
48 51 70
48 358 180
48 469 130
48 529 190
48 565 21
48 655 7
48 760 180
48 768 224
48 848 104
48 930 273
49 5 86
49 106 194
49 206 1
49 396 26
49 518 267
50 26 266
50 610 291
50 642 54
50 655 119
50 679 268
51 327 30
51 391 34
51 736 55
51 864 177
52 295 120
