800 1234
0 654 90
2 232 105
3 42 0
3 77 125
4 206 168
4 489 131
4 677 106
8 759 156
9 63 249
9 757 72
10 28 256
10 261 234
12 440 270
13 200 16
15 209 264
16 26 57
16 79 268
16 260 297
17 15 126
18 421 124
19 525 176
21 270 126
21 658 43
21 710 17
21 745 265
22 146 206
23 90 217
23 327 200
23 637 223
23 718 66
24 308 37
24 365 272
24 554 110
25 419 184
27 84 175
27 148 193
27 636 291
28 209 286
28 400 80
28 581 99
28 743 147
29 24 148
29 245 94
29 787 142
30 593 206
32 485 28
34 493 153
37 59 23
37 134 156
38 711 52
39 493 53
40 88 185
40 175 262
40 317 206
40 433 37
40 613 74
41 31 87
41 58 147
41 67 34
42 157 241
42 317 145
43 296 73
43 329 14
43 588 227
43 630 120
44 191 103
45 73 74
45 764 238
47 185 131
47 784 148
49 205 86
50 401 61
51 275 136
51 586 44
51 658 13
52 150 250
53 243 122
53 274 120
55 125 171
55 193 38
55 513 162
55 610 59
57 758 191
58 93 106
59 498 286
60 28 93
60 245 78
60 600 107
61 704 38
62 2 148
62 519 185
62 633 54
63 108 249
64 74 146
64 297 143
65 538 81
66 44 59
67 549 65
67 699 235
67 741 29
68 277 119
69 508 27
69 648 137
70 190 273
71 28 59
71 287 99
71 669 261
72 18 10
72 106 56
72 329 241
73 304 162
73 392 293
74 31 252
74 122 11
74 220 27
74 453 22
74 749 130
75 313 242
75 320 290
76 258 293
76 429 150
77 308 113
77 775 124
78 124 181
78 540 111
78 686 124
79 682 108
80 468 111
81 27 61
81 389 98
81 403 30
81 685 152
83 111 235
83 160 153
83 395 141
83 461 159
85 500 168
85 550 140
86 264 100
86 477 69
86 799 120
89 158 141
90 503 250
90 763 183
92 187 32
92 398 190
93 77 114
93 715 69
94 258 202
94 295 24
94 382 167
94 646 43
95 535 8
95 539 68
96 222 217
96 316 78
96 539 144
97 119 80
99 127 225
99 132 144
99 490 93
99 584 265
100 591 162
100 769 124
101 50 228
101 442 77
102 17 99
104 392 285
104 595 152
105 21 295
105 537 104
106 306 289
106 763 10
107 360 127
108 480 240
108 561 233
110 61 185
110 140 199
110 368 208
111 754 35
112 331 114
112 593 230
113 168 251
113 391 104
113 593 34
114 50 90
114 251 40
115 39 58
116 173 61
116 671 86
116 732 252
118 205 40
118 482 129
118 553 239
118 726 211
122 733 273
123 472 48
123 643 231
123 737 238
125 118 137
125 483 138
125 658 229
127 773 234
129 229 65
129 340 205
129 381 12
131 347 11
132 563 207
133 467 53
133 537 3
134 514 1
134 601 78
135 81 14
135 672 0
135 759 169
136 680 198
137 69 58
137 374 112
138 69 183
138 151 247
138 363 235
138 542 28
138 623 242
139 666 122
140 45 8
140 51 62
140 687 299
141 124 166
141 329 178
141 388 181
141 590 223
142 263 247
142 644 216
143 193 80
144 388 210
144 439 26
145 240 233
146 293 91
146 688 208
149 302 7
149 696 284
150 606 201
151 129 37
151 329 90
153 432 247
154 388 241
155 82 53
155 161 264
156 232 270
156 331 295
156 574 147
157 47 182
157 630 23
158 22 246
158 221 288
158 345 106
158 354 188
159 132 96
159 589 122
159 633 170
160 496 167
162 155 83
163 268 92
163 301 3
164 74 164
164 742 119
166 300 267
167 207 177
168 233 95
169 44 194
169 416 83
169 678 159
170 607 96
172 563 28
172 657 269
173 80 138
174 259 98
175 181 87
175 659 125
176 331 208
177 173 170
178 131 144
178 148 106
178 149 105
178 691 123
179 169 66
179 435 57
179 595 69
182 591 195
182 658 126
182 660 189
182 685 88
182 701 6
182 778 59
184 52 286
184 205 240
184 675 182
184 704 90
186 508 77
187 83 85
187 645 205
188 275 243
188 515 250
189 5 195
189 48 279
189 100 12
189 587 290
190 50 86
190 213 112
191 261 30
193 20 197
193 651 284
193 704 166
193 782 103
193 795 297
195 342 37
196 255 228
196 583 28
197 576 254
198 109 193
198 345 97
198 458 261
199 474 295
200 110 3
200 542 137
202 715 192
204 702 153
206 462 35
206 684 54
207 263 160
207 277 0
208 46 76
208 452 247
208 632 178
210 577 171
211 292 191
211 525 28
211 554 180
211 760 234
212 411 259
215 351 241
215 485 18
215 549 157
215 748 98
216 122 42
217 292 292
217 532 212
218 464 119
221 255 120
221 683 122
222 729 61
223 426 3
224 1 292
225 27 229
225 209 112
225 318 73
225 355 101
226 76 290
226 617 57
227 797 292
228 231 189
229 316 174
229 500 13
230 326 211
230 413 68
230 707 191
231 40 234
232 96 167
232 532 269
233 255 265
233 600 64
233 709 257
234 491 21
234 549 241
235 43 88
235 260 71
235 433 211
236 397 2
236 755 167
237 43 13
237 330 13
237 381 118
240 142 64
240 297 85
240 331 33
240 703 166
241 296 162
241 532 137
242 288 106
243 93 266
243 441 80
243 665 272
243 742 21
245 538 144
246 89 178
246 293 187
246 762 86
247 40 218
247 269 145
247 658 2
248 168 224
248 246 105
248 723 51
249 124 72
249 267 28
249 454 272
250 222 40
251 280 244
251 338 170
251 421 299
252 331 287
253 7 269
253 93 21
253 468 47
253 736 295
255 53 162
255 758 147
256 26 2
256 310 72
257 641 191
258 609 189
260 183 286
260 602 16
262 220 270
262 411 277
262 727 277
263 281 103
263 313 55
263 591 234
268 668 91
269 583 156
269 798 298
272 55 228
272 207 294
272 234 144
273 324 241
274 533 85
274 749 274
276 595 141
276 626 196
276 778 120
277 170 102
278 289 235
278 339 138
278 558 262
278 676 153
279 664 21
281 734 53
281 798 122
282 455 97
282 540 115
284 392 167
284 592 125
285 374 171
285 652 251
287 297 18
287 299 110
287 481 164
287 553 183
287 777 74
287 796 233
288 54 213
289 103 66
289 744 165
290 125 124
290 493 296
292 382 21
292 593 52
293 584 187
294 703 111
295 369 131
295 411 93
295 503 140
295 684 16
297 12 103
297 209 30
297 277 74
298 185 147
298 314 120
298 673 188
299 444 197
300 13 141
300 351 276
300 371 164
300 530 61
301 193 134
302 38 0
303 222 98
303 634 203
304 237 285
305 79 21
305 274 263
305 358 191
305 762 217
307 281 112
308 248 291
311 202 234
311 692 251
312 162 267
312 584 24
313 474 122
313 556 121
314 123 229
316 316 128
316 518 95
316 526 166
316 635 290
317 6 131
317 83 118
317 213 109
317 517 3
317 643 176
318 519 259
318 670 1
319 672 291
320 444 18
321 226 163
321 504 146
322 111 80
322 512 248
323 332 172
325 213 24
326 210 77
326 306 91
327 209 219
327 213 154
327 233 40
328 97 218
328 462 226
329 388 109
329 695 203
330 377 206
331 6 268
331 75 104
334 201 37
334 475 49
336 230 114
336 341 214
337 223 164
337 423 222
337 491 156
338 269 112
338 467 276
341 154 213
342 610 272
346 691 37
347 546 226
348 681 32
349 214 295
350 733 125
352 254 145
352 773 170
353 720 90
354 78 285
354 85 10
354 329 52
356 271 280
356 398 3
356 472 250
356 588 252
356 640 166
357 476 292
358 446 82
358 588 21
358 764 9
360 438 288
361 493 117
361 742 294
362 419 175
365 674 220
366 33 285
366 93 174
366 135 10
367 93 96
367 310 66
368 21 258
368 315 196
369 638 63
370 8 268
371 11 47
371 403 142
372 261 81
372 432 89
372 649 240
373 122 148
373 297 12
373 381 103
374 419 43
375 410 32
375 689 150
377 750 207
379 199 5
380 531 67
380 713 264
381 500 161
384 74 19
384 134 54
384 769 178
385 41 123
385 216 250
385 702 80
386 51 109
386 298 70
387 644 86
389 275 212
390 476 41
390 745 153
390 799 85
391 749 235
392 164 254
392 170 19
393 325 131
393 348 129
393 576 205
394 256 52
394 580 197
394 750 143
395 60 1
395 397 8
396 262 233
398 283 239
399 18 38
399 445 172
399 637 292
400 579 117
400 658 18
401 128 42
402 350 91
402 368 222
403 345 181
404 686 119
405 26 216
405 175 39
407 98 230
407 137 157
408 232 245
408 415 108
409 84 156
409 697 283
411 590 38
411 614 190
411 637 286
411 679 134
413 427 2
413 714 209
