100 333
0 10 3
0 13 141
0 49 19
0 58 18
0 69 124
0 71 164
0 88 127
0 91 162
1 77 115
1 89 255
1 93 134
2 23 231
2 25 77
2 50 91
2 62 123
3 21 163
3 22 98
3 32 105
3 34 203
3 45 181
3 76 243
4 2 153
4 92 285
5 26 216
5 58 191
5 75 39
6 63 10
7 37 157
7 77 0
8 19 271
8 32 245
8 60 221
8 61 59
9 2 261
9 57 72
9 63 249
9 89 2
10 61 234
11 2 234
11 4 235
11 37 286
12 17 96
12 45 60
12 88 182
13 14 209
13 27 2
13 56 121
13 74 122
13 91 104
13 98 189
14 3 248
14 14 24
14 51 40
15 30 39
15 51 241
15 64 242
15 79 10
15 88 256
16 18 95
16 26 57
16 35 290
16 52 208
16 71 86
16 86 205
17 13 109
17 15 255
17 32 212
18 26 211
18 32 150
18 53 239
18 58 50
18 64 119
18 70 1
18 82 129
19 25 176
21 10 17
21 70 126
22 29 61
22 33 273
22 38 292
22 46 206
23 2 85
23 27 200
23 32 172
23 37 238
23 59 157
23 79 196
23 84 154
23 85 156
24 1 292
24 8 144
24 37 248
24 54 110
24 78 252
24 88 163
25 27 229
25 55 101
26 6 73
26 12 175
26 17 57
26 57 237
27 36 291
27 84 175
28 0 80
28 23 20
28 43 147
29 0 13
29 4 105
29 24 148
29 29 65
29 75 208
30 7 191
30 13 68
30 26 211
30 41 225
30 77 206
32 32 269
32 63 207
33 67 53
34 5 283
34 14 1
34 49 241
34 74 72
34 93 153
35 33 211
35 50 73
36 38 82
36 41 214
36 55 167
36 74 220
37 34 156
37 59 23
37 66 49
37 69 58
38 23 242
38 69 112
38 79 190
39 58 204
40 13 275
40 42 64
40 45 8
40 51 62
40 86 21
40 88 185
41 24 166
41 29 178
41 33 215
41 67 34
41 90 223
42 44 216
42 88 106
43 23 87
43 24 223
43 30 120
43 96 73
44 39 26
44 58 35
44 62 57
45 9 109
45 24 172
45 49 286
46 62 86
46 78 269
46 90 149
47 26 71
47 84 148
48 46 105
48 67 36
48 83 107
49 67 28
49 96 284
50 6 201
50 98 79
51 21 299
52 0 87
52 50 250
52 87 70
53 20 90
53 68 47
53 74 120
54 11 241
54 21 89
54 85 10
55 10 59
55 15 231
55 53 162
55 55 242
55 61 264
55 74 131
56 40 166
56 48 24
56 61 127
56 72 250
56 98 3
57 58 191
57 70 215
57 76 292
58 21 288
58 39 203
58 46 82
58 54 188
58 64 9
58 78 265
59 32 96
59 33 170
59 70 28
59 92 105
60 2 16
60 26 10
60 28 93
60 57 224
60 96 167
62 11 277
62 19 185
62 33 54
62 48 281
63 1 3
63 13 55
63 28 284
63 68 92
64 5 245
64 41 211
64 42 119
64 81 3
66 44 59
67 28 193
67 41 29
67 48 175
67 99 235
68 18 187
69 15 165
69 61 288
69 78 159
70 29 77
71 11 47
71 64 113
71 66 178
71 69 261
71 89 240
72 18 10
72 55 228
72 57 269
72 61 81
73 86 221
73 97 12
74 70 70
75 13 242
75 33 169
75 45 212
75 59 125
76 27 43
76 29 268
76 31 208
77 8 113
77 32 256
77 73 170
78 0 271
78 58 262
79 64 21
80 96 98
81 27 61
81 34 53
81 44 96
81 88 242
81 89 98
81 98 122
82 85 88
82 86 165
83 11 235
83 13 292
83 35 126
83 95 141
84 5 240
84 34 54
84 74 280
85 2 80
85 38 253
85 41 123
85 50 140
85 53 12
85 74 171
86 64 100
86 80 216
86 90 161
86 98 70
87 1 50
87 29 49
87 47 204
87 53 183
87 60 213
87 77 74
87 81 164
87 97 18
88 43 37
88 82 155
89 13 108
89 44 165
89 48 82
89 75 212
90 29 70
90 45 153
90 50 262
90 97 189
91 95 242
92 25 55
92 39 153
92 42 122
92 82 21
92 97 149
93 15 69
93 25 131
93 48 129
93 51 284
93 65 136
93 76 205
93 95 297
94 3 111
94 56 52
94 58 202
94 95 24
95 25 64
95 68 125
95 69 131
95 85 93
96 21 48
96 22 217
96 37 61
96 48 172
98 9 193
98 73 188
99 18 38
99 27 225
99 68 184
